year,total_mm,anom_pct,anom_z,spi3
1981,1205.3391418457031,-14.638793490616186,-2.471726461889632,-2.5259554936908044
1982,1374.0304870605469,-2.692199992308176,-0.3285754453481228,-0.30494975614231823
1983,1482.0535278320312,4.957910064639309,1.0438108459845064,1.022894064202194
1984,1505.7804870605469,6.638235374115006,1.345251662199882,1.3058679976963319
1985,1339.30126953125,-5.151696914384499,-0.7697952231429498,-0.7465928638684499
1986,1358.1795349121094,-3.814752436461973,-0.5299549776934812,-0.5055856532471963
1987,1387.3590087890625,-1.7482841629504375,-0.1592423070351661,-0.13743474232046368
1988,1356.5113525390625,-3.9328918505881236,-0.5511485175518465,-0.526791751253202
1989,1356.8309631347656,-3.9102572699002147,-0.547088002341619,-0.5227274806751722
1990,1294.5110778808594,-8.323704415285272,-1.338835351694708,-1.327645446422189
1991,1400.5865173339844,-0.8115220108653984,0.008807502208197095,0.02775252023696469
1992,1448.6445007324219,2.5919080304230984,0.6193635200176596,0.6193059566129712
1993,1489.9485778808594,5.51703153860718,1.1441140625854682,1.1173838378880117
1994,1427.4561462402344,1.0913647885998135,0.3501745855709045,0.3601306291407193
1995,1406.3159790039062,-0.4057658682042592,0.08159784949299781,0.09898016661437199
1996,1443.6807556152344,2.2403793549671844,0.5563012723356293,0.558816888210292
1997,1323.321044921875,-6.283404336461907,-0.97281710652722,-0.9523852810747927
1998,1384.0267944335938,-1.9842690636773344,-0.20157665782335735,-0.17921350457097063
1999,1425.8742370605469,0.9793351767848174,0.3300771095432767,0.34067835438506805
2000,1531.777587890625,8.47933039505945,1.6755336514753547,1.6125444564335591
2001,1444.5244750976562,2.3001309306645608,0.5670203656247687,0.5691083458151173
2002,1376.2530517578125,-2.534799641222553,-0.3003387164026774,-0.2769410790787862
2003,1389.0846862792969,-1.6260729881047207,-0.13731831643144918,-0.11582478798636227
2004,1468.451904296875,3.9946533718636297,0.8710080666311292,0.8593202167663367
2005,1421.6467590332031,0.6799483798428436,0.27636881869901453,0.2886236991801761
2006,1372.4093627929688,-2.8070067869918787,-0.34917113220790397,-0.32539818819259164
2007,1451.0259704589844,2.7605619155144447,0.6496190690432782,0.648278059212331
2008,1436.4340209960938,1.727171089452855,0.4642346245426567,0.470258059947248
2009,1494.9831848144531,5.873578594313006,1.2080765791797632,1.1774658868177836
2010,1345.176025390625,-4.735651147102416,-0.6951589756465676,-0.6713513113392154
2011,1514.3491821289062,7.245063878934105,1.454113249158006,1.4073338421541446
2012,1413.1743469238281,0.07993856136675608,0.16873046534045782,0.1839883408585717
2013,1320.8963317871094,-6.4551206870201465,-1.0036220444626918,-0.9837557607460067
2014,1457.6163330078125,3.2272864073788603,0.733346791872862,0.728289649819893
2015,1397.146728515625,-1.0551252537029492,-0.03489353588220474,-0.015103675327616816
2016,1407.881591796875,-0.2948903541728345,0.10148828693356735,0.11840993136269395
2017,1481.6041564941406,4.926085926318918,1.0381017763320097,1.0175058505684764
2018,1147.5430603027344,-18.73186827823815,-3.206000829985845,-3.334932264591321
2019,1468.986572265625,4.032518153077434,0.8778007933076482,0.8657691107134248
2020,1270.5474548339844,-10.02079007740441,-1.643282879974947,-1.6440726604048372
2021,1429.1161499023438,1.2089249926023737,0.3712642184230307,0.38052778701426454
2022,1488.39111328125,5.406733073467541,1.1243271444384277,1.0987700866431844
2023,1325.8720092773438,-6.102746969928696,-0.9404082011111113,-0.9194229186096077
2024,1330.6600952148438,-5.763658344739144,-0.8795776277869602,-0.8576680090927472
